N-грамма,Предложение,Контекст до,Контекст после
эксперт,"Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции.","Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ.",Недопустимо вносить изменения в первоначальное состояние информационной составляющей объекта исследования.
эксперт,Поэтому эксперт работает непосредственно с созданным образом.,Недопустимо вносить изменения в первоначальное состояние информационной составляющей объекта исследования.,"Данный образ можно создать с помощью программы Forensic Toolkit(FTK), что позволит не допустить какого-либо редактирования информации непосредственно на самом носителе."
эксперт,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта Успешно выполнив необходимые действия, эксперт может перейти к решению поставленной задачи.",2017.,"Для этого задается условие, правильное составление которого является основой получения необходимого результата."
эксперт,"И, выбрав опции «Signature(Find)», «File Ext», эксперт задает условия (рис.17, 18).",С правой стороны экрана необходимо перейти в опцию «Conditions».,Рис.
эксперт,Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.",Литература [1] Чугунков В. Выбираем флешку.
технология дает возможность,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.","Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя."
загорается световой,"Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",При выходе из строя компьютер определяет USB-накопитель как «неизвестное устройство» или просто его «не видит».,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись."
значительно меньший размер,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
позволяет получить доступ,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.",Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].
очередь,"В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных.",В USB-накопителях используется память типа NAND.,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти."
объект,"Подключив устройство (для проверки первоначально рекомендуется использовать иное устройство, но не объект исследования), можем убедиться, что удалить или изменить данные не представляется возможным.",12).,Рис.
память типа,В USB-накопителях используется память типа NAND.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND).","В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных."
память типа,"В первую очередь это обусловлено тем, что сфера использования USB-памяти типа NOR применяется для хранения небольшого объема данных (до 256 Мбайт), что недопустимо при разработке USB-накопителей, в то время как USB-память типа NAND предназначена для хранения большого объема данных.",В USB-накопителях используется память типа NAND.,"Кварцевый резонатор используется для построения опорной частоты, необходимой для функционирования логики контроллера и флэш-памяти."
знать,"Поэтому эксперту важно знать, как «запретить» компьютеру вносить какие-либо изменения в подключенные к нему устройства.","Однако в распоряжении эксперта не всегда есть специализированные приспособления или программы, не позволяющие вносить изменения в данные на устройстве.",8 Политехнический молодежный журнал.
знать,Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.",Литература [1] Чугунков В. Выбираем флешку.
дать название дела,"Перед решением основной задачи необходимо осуществить подготовительный этап, а именно: дать название дела (рис.",Установки защиты от записи на USB-устройство Затем подключаем USB-устройство и запускаем программу.,"13), выбрать нужное устройство (рис."
использовать батарейки,"Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках.","Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.)."
запрещающего запись,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",Обычно он располагается на боковой части носителя и отмечается значком замка.
осуществить подготовительный этап,"Перед решением основной задачи необходимо осуществить подготовительный этап, а именно: дать название дела (рис.",Установки защиты от записи на USB-устройство Затем подключаем USB-устройство и запускаем программу.,"13), выбрать нужное устройство (рис."
программный комплекс encase,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
программный комплекс encase,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.,"Поиск решения в «системе решений» Возможность виртуализации контроллера играет важную роль в работе эксперта, поскольку нередко не представляется возможным восстановить данные с USB-устройства иными способами вследствие нерабочего состояния контроллера.",Политехнический молодежный журнал.
программный комплекс encase,Павлова Программный Комплекс Encase Forensic Assistant.,"№ 12 7
А.А.","Этот программный комплекс как незаменимое программное средство в экспертной деятельности работает на различных платформах, таких, как Windows, Linux, AIX, OS X, Solaris и др., а также позволяет найти на исследуемом объекте нужные файлы, нужную информацию."
поиск,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
поиск,"Выбор опции «поиск в «системе решений» Для получения решения необходимо виртуализировать контроллер устройства, заполнив необходимые поля данных (рис.",8.,9).
поиск,"Поиск решения в «системе решений» Возможность виртуализации контроллера играет важную роль в работе эксперта, поскольку нередко не представляется возможным восстановить данные с USB-устройства иными способами вследствие нерабочего состояния контроллера.",9.,При исследовании USB-накопителей помимо аппаратно-программного комплекса PC-3000 flash в экспертной практике широко применяется программный комплекс Encase Forensic Assistant.
использовать,"Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках.","Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.)."
использовать,"Подключив устройство (для проверки первоначально рекомендуется использовать иное устройство, но не объект исследования), можем убедиться, что удалить или изменить данные не представляется возможным.",12).,Рис.
получить,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.",Данный комплекс использует собственную технологию прямого доступа к микросхемам флэш-памяти.,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].
повышенное внимание,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
механическая защита,"Некоторыми производителями USB-накопителей реализуется механическая защита от изменений в виде переключателя (защита от записи), разрешающего или запрещающего запись.","Светодиод не является обязательным и не влияет на внутреннюю работу USB-устройства, но позволяет определить его исправность, поскольку при подключении к компьютеру загорается световой индикатор, а также он мигает при обращении к диску (в процессе записи или чтения) [7].",Обычно он располагается на боковой части носителя и отмечается значком замка.
дает возможность,Эта технология дает возможность увеличить вероятность успешного восстановления данных даже в случае физического повреждения накопителей [12].,"При этом микросхема выпаивается из накопителя и считывается на специальном считывающем устройстве — Flash reader, входящем в состав комплекса, что позволяет получить доступ к данным в случаях, когда контроллер накопителя неисправен.","Современные микросхемы памяти представляют собой достаточно сложные устройства, подверженные явлениям износа, что является основной причиной логического повреждения накопителя."
включать,Устройство USB-накопителя может включать в себя до восьми составляющих элементов (рис.,Структура USB-накопителя.,1) [3].
необходимость,Нередко в экспертной практике при проведении судебной компьютернотехнической экспертизы появляется необходимость восстановления информации с поврежденных USB–накопителей.,"Развитие аппаратно-программных средств также имеет немаловажное значение для получения объективного, полного и достоверного результата.",Для этого широко используется комплекс PC-3000 flash.
обеспечение,"Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи.","Результат исследования Обобщая все вышеизложенное, можно сделать вывод о том, что на сегодняшний день USB-накопители являются наиболее удобными и практически незаменимыми переносными устройствами для хранения и чтения/записи информации, которые способны сочетать в себе такие свойства, как компактность и возможность хранения большого объема данных, поэтому USB-накопитель часто становится объектом экспертного исследования в рамках проведения судебной компьютерной технической экспертизы.","Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию."
переключатель,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
правило,"Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт.","Внешний вид тыльной стороны вания SanDick Cruzer Facet с объемом объекта исследования SanDick Cruzer Facet памяти 2 Гбайта с объемом памяти 2 Гбайта Прежде чем начать работу с устройством, следует выполнить некоторые действия.","Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ."
микросхема памяти,"Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6].",Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND)."
микросхема памяти,USB-устройство Transcend с выпаянной микросхемой памяти: а — контроллер; б — микросхема памяти 4 Политехнический молодежный журнал.,3.,2017.
микросхема памяти,"4), выпаянная микросхема памяти вставляется в устройство со строгим соблюдением методических рекомендаций, а именно: кружочек, отмеченный на микросхеме, должен совпасть с обозначением (синим флажком) на аппаратуре, в противном же случае данные могут быть утеряны (рис.",После того как пройдет инициализация (рис.,5).
микросхема памяти,"Например, с помощью комплекса PC-3000 flash можно восстановить информацию даже с поврежденных USB-устройств (при условии, что микросхема памяти не была деформирована), а при использовании комплекса Encase Forensic есть возможность быстро найти необходимую информацию.","Программное обеспечение эксперта постоянно совершенствуется: разработаны различные программные средства, которые позволяют решать все более сложные экспертные задачи.",Для корректного восстановления данных с таких устройств эксперт должен знать внутреннюю структуру USB-накопителя и соблюдать предельную осторожность при разборе устройства.
подготовительный,"Перед решением основной задачи необходимо осуществить подготовительный этап, а именно: дать название дела (рис.",Установки защиты от записи на USB-устройство Затем подключаем USB-устройство и запускаем программу.,"13), выбрать нужное устройство (рис."
кружочек,"4), выпаянная микросхема памяти вставляется в устройство со строгим соблюдением методических рекомендаций, а именно: кружочек, отмеченный на микросхеме, должен совпасть с обозначением (синим флажком) на аппаратуре, в противном же случае данные могут быть утеряны (рис.",После того как пройдет инициализация (рис.,5).
хранение,"Микросхема памяти — это энергонезависимая память, которая отвечает за хранение информации и может электрически стираться и перепрограммироваться [6].",Одной из причин этого служит неправильное извлечение микроконтроллера из считывающего устройства.,"Существует несколько технологий построения структуры USBпамяти, наиболее распространенными из которых являются NOR (NOT OR) и NAND (NOT AND)."
дополнительное место,"Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",1.,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать."
дополнительное место,"Такие элементы, как светодиод, защита от записи, дополнительное место для микросхемы памяти могут в USB-устройстве отсутствовать.","Внутреннее строение USB-накопителя: 1 — разъем USB; 2 — микроконтроллер; 3 — контрольные точки; 4 — чип (микросхема) флэшпамяти; 5 — кварцевый резонатор; 6 — светодиод; 7 — переключатель (защита от записи); 8 — дополнительное место для микросхемы памяти Следует отметить, что в современных USB-накопителях многие элементы имеют значительно меньший размер и впаяны непосредственно в саму конструкцию USB-устройства, которую полностью разобрать без повреждения работоспособности устройства не представляется возможным (рис 2).",Рис.
храниться,"Это — набор микросхем, в чипах которых способна храниться цифровая информация, поэтому нет необходимости использовать батарейки или аккумуляторы при работе с устройством.","Безусловно, на сегодняшний день USB-накопитель является одним из наиболее компактных и удобных запоминающих устройств, в котором отсутствуют движущиеся элементы, как в оптических или в жестких магнитных дисках.","Кроме того, существует множество производителей данных устройств, выпускающих USB-накопители с различным объемом памяти (до 1 Тбайт) и различной пропускной способностью (USB 2.0, 3.0, 3.1 и др.)."
создать,"Во-вторых, подключая носитель информации к программе, во избежание потери определенных данных или их изменения необходимо создать образ.","Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт.","Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции."
создать,"Данный образ можно создать с помощью программы Forensic Toolkit(FTK), что позволит не допустить какого-либо редактирования информации непосредственно на самом носителе.",Поэтому эксперт работает непосредственно с созданным образом.,"Создав образ USB-накопителя, необходимо проверить устройство на вирусы."
внимание,"Следует отметить, что в последнее время законодатель стал уделять повышенное внимание электронным доказательствам, в том числе особенностям раПолитехнический молодежный журнал.","Экспертные исследования, проводимые судебным компьютернотехническим экспертом, обеспечивают получение результатов, имеющих наибольшее доказательственное значение при расследовании преступлений [9].",2017.
внешний вид,Внешний вид объекта исследо- Рис.,10.,11.
внешний вид,"Внешний вид тыльной стороны вания SanDick Cruzer Facet с объемом объекта исследования SanDick Cruzer Facet памяти 2 Гбайта с объемом памяти 2 Гбайта Прежде чем начать работу с устройством, следует выполнить некоторые действия.",11.,"Во-первых, подключить USB-накопитель к блокиратору, которым, как правило, обладает каждый компьютерно-технический эксперт."
часть,"Прежде чем начать работу, эксперт должен выпаять микросхему памяти из основной конструкции (при температуре 320–350 °C), причем так, чтобы «ножки» микросхемы не были повреждены, поскольку возрастает вероятность того, что комплекс восстановит только часть данных или вообще не сможет считать микросхему памяти.",3).,Если потребуется необходимо произвести зачистку ножек.
часть,"№ 12
Исследование USB-накопителей в работе судебного компьютерно-технического эксперта После подготовки объекта к исследованию эксперт загружает программную часть комплекса PC-3000 flash.",2017.,После того как пройдет инициализация (рис.
часть,"Отметим, что микросхема состоит из двух частей и каждая часть должна считываться с двух сторон.",7).,Рис.
аннотация ключевые,"Баумана, Москва, Российская Федерация Аннотация Ключевые слова Рассмотрены USB-накопители, в частности, внут- USB-накопитель, судебная комренние компоненты USB-устройства, современные пьютерно-техническая эксперкомплексы, используемые в рамках производства тиза, программные средства, судебной компьютерно-технической экспертизы при поврежденные устройства, восработе с USB-накопителями информации, а именно: становление данных, поиск данаппаратно-программный комплекс PC-3000 flash, ных позволяющий восстановить данные с поврежденных USB-устройств, и программный комплекс Encase Forensic, который применяется для поиска, анализа Поступила в редакцию 06.10.2017 и восстановления данных с USB-устройств.",Н.Э.,© МГТУ им.
вносить,Недопустимо вносить изменения в первоначальное состояние информационной составляющей объекта исследования.,"Для этого нужно выбрать Create image-Physical drive: E01–Compression (0–9)–Finish– Start, с которым эксперт может производить любые манипуляции.",Поэтому эксперт работает непосредственно с созданным образом.
вносить,"Однако в распоряжении эксперта не всегда есть специализированные приспособления или программы, не позволяющие вносить изменения в данные на устройстве.",После успешного выполнения всех действий USB-накопитель можно отсоединить.,"Поэтому эксперту важно знать, как «запретить» компьютеру вносить какие-либо изменения в подключенные к нему устройства."
вносить,"Поэтому эксперту важно знать, как «запретить» компьютеру вносить какие-либо изменения в подключенные к нему устройства.","Однако в распоряжении эксперта не всегда есть специализированные приспособления или программы, не позволяющие вносить изменения в данные на устройстве.",8 Политехнический молодежный журнал.
